Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2011,VICHADA,PLATANO,412.00,"2,257.00",5.48,0.08,0.12
2012,AMAZONAS,PLATANO,70.00,240.00,3.43,0.01,0.02
2012,ANTIOQUIA,PLATANO,"45,962.30","288,330.45",6.27,9.35,12.08
2012,ARAUCA,PLATANO,"28,410.00","384,460.00",13.53,12.47,7.47
2012,ATLANTICO,PLATANO,488.97,"3,501.47",7.16,0.11,0.13
2012,BOLIVAR,PLATANO,"4,644.00","38,658.00",8.32,1.25,1.22
2012,BOYACA,PLATANO,"5,065.04","38,762.00",7.65,1.26,1.33
2012,CALDAS,PLATANO,"19,911.70","214,544.92",10.77,6.96,5.23
2012,CAQUETA,PLATANO,"12,811.00","76,439.00",5.97,2.48,3.37
2012,CASANARE,PLATANO,"2,788.05","28,719.00",10.30,0.93,0.73
2012,CAUCA,PLATANO,"12,433.80","90,724.19",7.30,2.94,3.27
2012,CESAR,PLATANO,"3,423.00","20,658.00",6.04,0.67,0.90
2012,CHOCO,PLATANO,"16,134.00","133,263.00",8.26,4.32,4.24
2012,CORDOBA,PLATANO,"23,107.00","192,748.50",8.34,6.25,6.07
2012,CUNDINAMARCA,PLATANO,"8,025.20","53,505.55",6.67,1.73,2.11
2012,GUAINIA,PLATANO,286.00,"1,944.80",6.80,0.06,0.08
2012,GUAVIARE,PLATANO,"4,426.05","23,491.50",5.31,0.76,1.16
2012,HUILA,PLATANO,"27,068.50","90,240.16",3.33,2.93,7.12
2012,LA GUAJIRA,PLATANO,"1,380.00","7,321.50",5.31,0.24,0.36
